year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,6208.51,442094.41,1003384.08,79849.74,1236569.86,933687.61
2018,6974.63,494060.79,1093874.12,82787.01,1280966.6,973236.16
2019,8001.26,565081.51,1211599.25,86750.78,1341642.14,1022491.27
2020,8519.0,599725.76,1271808.34,88711.17,1371239.97,1048273.81
2021,8898.05,623976.74,1320663.02,90109.42,1391958.45,1070660.88
2022,9175.87,641298.87,1353746.42,91118.18,1406757.36,1085352.85
2023,9409.45,655156.57,1381396.24,91942.47,1418596.5,1097823.92
2024,9591.24,665549.85,1408769.5,92570.39,1427475.84,1111410.95
2025,9800.41,677675.33,1433965.93,93297.09,1437835.08,1122858.6
2026,10059.36,693265.25,1465038.43,94214.0,1451154.11,1136673.35
2027,10276.62,705390.74,1496013.45,94950.93,1461513.35,1151663.23
2028,10474.2,715784.01,1518851.31,95599.11,1470392.69,1162118.79
2029,10704.84,731373.93,1544914.31,96468.82,1483711.72,1172645.42
2030,10849.83,740034.99,1565066.99,96977.51,1491111.17,1182000.97
2031,11120.66,755624.91,1602760.92,97906.98,1504430.2,1199636.44
2032,,,1640834.13,,,1217397.22
2033,,,1685244.31,,,1238884.73
2034,,,1733235.2,,,1261768.13
2035,,,1775810.94,,,1283644.05
2036,,,1825045.02,,,1306938.22
