year,Base case cost,Modeled wind power
2019,582811.045259,833907.700101
2020,626168.322922,856316.829705
2021,658159.723379,871203.843003
2022,681389.898909,879956.236747
2023,701019.919769,886518.039308
2024,716346.369065,890181.210563
2025,733884.227099,895637.754374
2026,755542.098384,904185.712352
2027,773802.801019,910728.212448
2028,790548.142683,916536.703674
2029,809829.8047,923234.145679
2030,822081.317276,925493.135875
2031,845075.680665,936233.527373
2032,870925.246733,949988.463481
2033,898437.55636,965561.750403
2034,928510.303492,983241.281255
2035,950050.938628,994961.714311
2036,980530.997638,1013341.87629
2037,1002019.37895,1025296.50015
2038,1034076.43165,1045533.38691
