year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,173247.0,123594.19122
2018,173247.0,123594.19122
2019,173247.0,123594.19122
2020,173247.0,123594.19122
2021,173247.0,123594.19122
2022,173247.0,123594.19122
2023,173247.0,123594.19122
2024,173247.0,123594.19122
2025,173247.0,123594.19122
2026,173247.0,123594.19122
2027,173247.0,123594.19122
2028,173247.0,123594.19122
2029,173247.0,123594.19122
2030,173247.0,123594.19122
2031,173247.0,123594.19122
2032,,
2033,,
2034,,
2035,,
2036,,
