year,Base case cost,Port frederick (unnamed stream) -- unnamed creek,Humpback creek (chichagof island),Steve kane creek,Shotter creek
2021,658159.723379,806178.333013,883848.145124,698701.591299,719183.167245
2022,681389.898909,826368.909759,898366.40819,720068.523949,740144.169338
2023,701019.919769,843041.66384,909932.358363,737989.885767,757669.114598
2024,716346.369065,855491.543166,917839.173443,751761.58142,771053.684705
2025,733884.227099,870213.0856,927844.685111,767709.472893,786623.523887
2026,755542.098384,889107.054337,941602.975915,787678.699088,806223.558391
2027,773802.801019,904679.872034,952598.790069,804402.720648,822587.041191
2028,790548.142683,918805.577308,962459.563759,819699.909619,837532.141531
2029,809829.8047,935509.271693,974228.856252,837370.07037,854858.465726
2030,822081.317276,945267.0401,980096.164775,848285.874819,865438.492287
2031,845075.680665,965800.24287,995821.410183,869717.199812,886541.909188
2032,870925.246733,989245.006697,1014519.22504,894027.110401,910531.597032
2033,898437.55636,1014407.55154,1034994.39941,920022.59942,936214.368524
2034,928510.303492,1042177.99957,1057890.6666,948538.00704,964424.387936
2035,950050.938628,1061493.95086,1073369.2256,968794.354075,984382.504298
2036,980530.997638,1089775.45624,1096888.85543,997760.117248,1013057.02658
2037,1002019.37895,1109140.46764,1112526.14769,1018006.2453,1033018.7397
2038,1034076.43165,1139097.90608,1137828.81325,1048590.0518,1063324.79724
2039,1063164.39512,1166146.55642,1160764.35188,1076350.21237,1090813.7186
2040,1100893.66769,1201864.28884,1191684.45998,1112582.56815,1126781.19233
2041,1113514.97658,1212588.68395,1200355.43069,1124416.85336,1138356.80366
2042,1127082.88363,1224304.13614,1210065.58561,1137216.1826,1150903.52169
2043,1140650.79069,1236063.00525,1219866.15661,1150033.52538,1163474.17385
2044,1155165.29591,1248810.87184,1230701.6227,1163815.05768,1177014.79733
2045,1170310.86657,1262231.20948,1242254.38174,1178244.83448,1191209.31161
2046,1186403.03541,1276638.58043,1254837.94545,1193637.98586,1206372.71444
2047,1203126.26968,1291716.50428,1268134.80755,1209678.58591,1222188.95067
2048,1220796.10212,1307779.58826,1282458.57342,1226681.78337,1238973.04283
2049,1239097.00001,1324511.39584,1297491.82813,1244331.67052,1256408.95997
2050,1257713.43062,1341595.5117,1312917.20098,1262312.34847,1274180.68282
2051,1257713.43062,1340099.11059,1309800.93363,1261691.49626,1273355.77291
2052,1257713.43062,1338637.78137,1306757.7038,1261085.19527,1272550.19681
2053,1257713.43062,1337210.70206,1303785.79969,1260493.10446,1271763.50141
2054,1257713.43062,1335817.06992,1300883.54954,1259914.89078,1270995.24418
2055,1257713.43062,1334456.10103,1298049.3209,1259350.22898,1270244.99298
2056,1257713.43062,1333127.02985,1295281.51949,1258798.80144,1269512.32579
2057,1257713.43062,1331829.10877,1292578.58844,1258260.29799,1268796.83049
2058,1257713.43062,1330561.60772,1289939.00731,1257734.41571,1268098.10461
2059,1257713.43062,1329323.81374,1287361.2914,1257220.8588,1267415.75512
2060,1257713.43062,1328115.03054,1284843.99068,1256719.33838,1266749.3982
2061,1257713.43062,1326934.5782,1282385.68919,1256229.57234,1266098.65901
2062,1257713.43062,1325781.79271,1279985.00416,1255751.28519,1265463.17152
2063,1257713.43062,1324656.02563,1277640.58516,1255284.2079,1264842.57827
2064,1257713.43062,1323556.64372,1275351.11351,1254828.07773,1264236.53018
2065,1257713.43062,1322483.02857,1273115.30134,1254382.63812,1263644.68634
2066,1257713.43062,1321434.57627,1270931.89101,1253947.63849,1263066.71384
2067,1257713.43062,1320410.69708,1268799.65437,1253522.83417,1262502.28757
2068,1257713.43062,1319410.81505,1266717.39201,1253107.98619,1261951.09004
2069,1257713.43062,1318434.36776,1264683.93268,1252702.86122,1261412.8112
2070,1257713.43062,1317480.80595,1262698.13256,1252307.23137,1260887.14827
