year,Base case cost,Modeled biomass for heat (cordwood)
2017,442009.093549,570146.132217
2018,493983.193549,606011.4212
2019,565014.463549,656028.766552
2020,599663.863549,679202.171567
2021,623918.443549,694746.47157
2022,641243.143549,705222.483365
2023,655102.903549,713191.055298
2024,665497.723549,718650.904826
2025,677625.013549,725444.021948
2026,693217.243549,734850.264359
2027,705344.533549,741744.114305
2028,715739.353549,747405.486142
2029,731331.583549,756957.564041
2030,739993.933549,761431.6698
2031,755586.163549,771075.363666
2032,,
2033,,
2034,,
2035,,
2036,,
