year,Base case cost,Modeled biomass for heat (pellet)
2017,442009.093549,534866.046965
2018,493983.193549,570614.523201
2019,565014.463549,619989.527216
2020,599663.863549,643440.187349
2021,623918.443549,659504.918937
2022,641243.143549,670654.909165
2023,655102.903549,679361.361561
2024,665497.723549,685623.611764
2025,677625.013549,693148.836719
2026,693217.243549,703172.344754
2027,705344.533549,710749.749499
2028,715739.353549,717116.38863
2029,731331.583549,727215.439717
2030,739993.933549,732394.733149
2031,755586.163549,742541.241476
2032,,
2033,,
2034,,
2035,,
2036,,
