year,Base case diesel consumed,Port frederick (unnamed stream) -- unnamed creek,Humpback creek (chichagof island),Steve kane creek,Shotter creek
2021,208278.393474,207683.765128,184493.259633,202332.110013,202332.110013
2022,209015.306414,208420.678068,185230.172572,203069.022952,203069.022952
2023,209886.203524,209291.575178,186101.069683,203939.920062,203939.920062
2024,210690.108548,210095.480202,186904.974707,204743.825087,204743.825087
2025,211494.013573,210899.385227,187708.879732,205547.730111,205547.730111
2026,212230.926512,211636.298166,188445.792671,206284.643051,206284.643051
2027,213168.815708,212574.187362,189383.681867,207222.532246,207222.532246
2028,214240.689074,213646.060728,190455.555233,208294.405612,208294.405612
2029,214240.689074,213646.060728,190455.555233,208294.405612,208294.405612
2030,214642.641586,214048.01324,190857.507745,208696.358125,208696.358125
2031,215580.530782,214985.902436,191795.396941,209634.24732,209634.24732
2032,217188.340831,216593.712485,193403.20699,211242.05737,211242.05737
2033,219131.111307,218536.482961,195345.977466,213184.827846,213184.827846
2034,221073.881784,220479.253438,197288.747942,215127.598322,215127.598322
2035,223016.65226,222422.023914,199231.518419,217070.368798,217070.368798
2036,224892.430651,224297.802305,201107.29681,218946.147189,218946.147189
2037,226701.216956,226106.58861,202916.083115,220754.933495,220754.933495
2038,228777.971603,228183.343257,204992.837762,222831.688142,222831.688142
2039,231122.694592,230528.066246,207337.560751,225176.41113,225176.41113
2040,233735.385922,233140.757576,209950.252081,227789.102461,227789.102461
2041,236415.069338,235820.440992,212629.935497,230468.785876,230468.785876
2042,239295.72901,238701.100663,215510.595168,233349.445548,233349.445548
2043,242176.388681,241581.760335,218391.25484,236230.10522,236230.10522
2044,245258.024609,244663.396263,221472.890768,239311.741148,239311.741148
2045,248473.644708,247879.016362,224688.510867,242527.361246,242527.361246
2046,251890.241063,251295.612717,228105.107221,245943.957601,245943.957601
2047,255440.821588,254846.193242,231655.687747,249494.538127,249494.538127
2048,259192.37837,258597.750024,235407.244529,253246.094908,253246.094908
2049,263077.919323,262483.290976,239292.785481,257131.635861,257131.635861
2050,267030.452361,266435.824014,243245.318519,261084.168899,261084.168899
2051,267030.452361,266435.824014,243245.318519,261084.168899,261084.168899
2052,267030.452361,266435.824014,243245.318519,261084.168899,261084.168899
2053,267030.452361,266435.824014,243245.318519,261084.168899,261084.168899
2054,267030.452361,266435.824014,243245.318519,261084.168899,261084.168899
2055,267030.452361,266435.824014,243245.318519,261084.168899,261084.168899
2056,267030.452361,266435.824014,243245.318519,261084.168899,261084.168899
2057,267030.452361,266435.824014,243245.318519,261084.168899,261084.168899
2058,267030.452361,266435.824014,243245.318519,261084.168899,261084.168899
2059,267030.452361,266435.824014,243245.318519,261084.168899,261084.168899
2060,267030.452361,266435.824014,243245.318519,261084.168899,261084.168899
2061,267030.452361,266435.824014,243245.318519,261084.168899,261084.168899
2062,267030.452361,266435.824014,243245.318519,261084.168899,261084.168899
2063,267030.452361,266435.824014,243245.318519,261084.168899,261084.168899
2064,267030.452361,266435.824014,243245.318519,261084.168899,261084.168899
2065,267030.452361,266435.824014,243245.318519,261084.168899,261084.168899
2066,267030.452361,266435.824014,243245.318519,261084.168899,261084.168899
2067,267030.452361,266435.824014,243245.318519,261084.168899,261084.168899
2068,267030.452361,266435.824014,243245.318519,261084.168899,261084.168899
2069,267030.452361,266435.824014,243245.318519,261084.168899,261084.168899
2070,267030.452361,266435.824014,243245.318519,261084.168899,261084.168899
