year,Base case cost,Modeled solar power (pv)
2016,349596.857761,381638.91366
2017,432117.038622,462192.090331
2018,496461.596797,524888.64304
2019,582811.045259,609281.419346
2020,626168.322922,651365.410512
2021,658159.723379,682292.980737
2022,681389.898909,704603.325841
2023,701019.919769,723394.078075
2024,716346.369065,737959.944459
2025,733884.227099,754725.401712
2026,755542.098384,775570.053823
2027,773802.801019,793094.066002
2028,790548.142683,809148.607976
2029,809829.8047,827669.820453
2030,822081.317276,839291.665534
2031,845075.680665,861558.748042
2032,870925.246733,886697.536581
2033,898437.55636,913515.220876
2034,928510.303492,942881.659059
2035,950050.938628,963840.987588
