year,annotation,Maximum expected generation hydro [kWh/year],Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation hydro [kWh/year],generation diesel [kWh/year]
2003,,1810000.0,47421.84,4707816.0,0.0,4707816.0
2004,,1810000.0,47421.84,5285544.0,0.0,5285544.0
2005,,1810000.0,47421.84,5228291.0,0.0,5228291.0
2006,,1810000.0,47421.84,5346565.0,0.0,5346565.0
2007,,1810000.0,47421.84,5089180.0,0.0,5089180.0
2008,,1810000.0,47421.84,5111230.0,0.0,5111230.0
2009,,1810000.0,47421.84,4822500.0,0.0,4822500.0
2010,,1810000.0,47421.84,4624467.0,0.0,4624467.0
2011,,1810000.0,47421.84,4860308.0,0.0,4860308.0
2012,,1810000.0,47421.84,4745689.0,0.0,4745689.0
2013,,1810000.0,47421.84,4723813.0,0.0,4723813.0
2014,,1810000.0,47421.84,4595680.0,0.0,4595680.0
2015,,1810000.0,47421.84,4718337.0,632115.0,4086222.0
2016,start of forecast,1810000.0,47421.84,4844000.0,1810000.0,3034000.0
2017,,1810000.0,47421.84,4867000.0,1810000.0,3057000.0
2018,,1810000.0,47421.84,4885000.0,1810000.0,3075000.0
2019,,1810000.0,47421.84,4895000.0,1810000.0,3085000.0
2020,,1810000.0,47421.84,4905000.0,1810000.0,3095000.0
2021,,1810000.0,47421.84,4919000.0,1810000.0,3109000.0
2022,,1810000.0,47421.84,4930000.0,1810000.0,3120000.0
2023,,1810000.0,47421.84,4943000.0,1810000.0,3133000.0
2024,,1810000.0,47421.84,4955000.0,1810000.0,3145000.0
2025,,1810000.0,47421.84,4967000.0,1810000.0,3157000.0
2026,,1810000.0,47421.84,4978000.0,1810000.0,3168000.0
2027,,1810000.0,47421.84,4992000.0,1810000.0,3182000.0
2028,,1810000.0,47421.84,5008000.0,1810000.0,3198000.0
2029,,1810000.0,47421.84,5008000.0,1810000.0,3198000.0
2030,,1810000.0,47421.84,5014000.0,1810000.0,3204000.0
2031,,1810000.0,47421.84,5028000.0,1810000.0,3218000.0
2032,,1810000.0,47421.84,5052000.0,1810000.0,3242000.0
2033,,1810000.0,47421.84,5081000.0,1810000.0,3271000.0
2034,,1810000.0,47421.84,5110000.0,1810000.0,3300000.0
2035,,1810000.0,47421.84,5139000.0,1810000.0,3329000.0
2036,,1810000.0,47421.84,5167000.0,1810000.0,3357000.0
2037,,1810000.0,47421.84,5194000.0,1810000.0,3384000.0
2038,,1810000.0,47421.84,5225000.0,1810000.0,3415000.0
2039,,1810000.0,47421.84,5260000.0,1810000.0,3450000.0
2040,,1810000.0,47421.84,5299000.0,1810000.0,3489000.0
