year,Base case diesel consumed,Modeled diesel efficiency
2019,206670.583425,187882.348568
2020,207340.504279,188491.367526
2021,208278.393474,189343.994068
2022,209015.306414,190013.914922
2023,209886.203524,190805.639567
2024,210690.108548,191536.462317
2025,211494.013573,192267.285066
2026,212230.926512,192937.20592
2027,213168.815708,193789.832462
2028,214240.689074,194764.262795
2029,214240.689074,194764.262795
2030,214642.641586,195129.674169
2031,215580.530782,195982.300711
2032,217188.340831,197443.94621
2033,219131.111307,199210.101189
2034,221073.881784,200976.256167
2035,223016.65226,202742.411145
2036,224892.430651,204447.664228
2037,226701.216956,206092.015415
2038,228777.971603,207979.974185
