year,annotation,Average Load
2003,,491.0
2004,,550.0
2005,,547.0
2006,,558.0
2007,,557.0
2008,,531.0
2009,,497.0
2010,,484.0
2011,,505.0
2012,,491.0
2013,,495.0
2014,,480.0
2015,,488.0
2016,start of forecast,505.0
2017,,507.0
2018,,509.0
2019,,510.0
2020,,511.0
2021,,513.0
2022,,514.0
2023,,515.0
2024,,516.0
2025,,518.0
2026,,519.0
2027,,520.0
2028,,522.0
2029,,522.0
2030,,523.0
2031,,524.0
2032,,527.0
2033,,529.0
2034,,533.0
2035,,536.0
2036,,538.0
2037,,541.0
2038,,545.0
2039,,548.0
2040,,552.0
