year,Base case cost,Modeled biomass for heat (cordwood)
2017,265029.030217,
2018,284665.109287,
2019,311772.822775,
2020,324504.374403,
2021,333407.953938,
2022,340028.927891,
2023,344622.494403,
2024,348351.222775,
2025,352902.256264,
2026,358431.549287,
2027,362996.76045,
2028,366810.554868,
2029,371942.873008,
2030,375104.494403,
2031,380733.031147,
2032,,
2033,,
2034,,
2035,,
2036,,
