year,Base case cost,Modeled water and wastewater efficiency
2017,34665.5613736,42561.7583552
2018,36980.782383,44134.5666176
2019,40070.8595195,46232.9010983
2020,41830.6749442,47429.735247
2021,43220.0882231,48375.4263984
2022,44274.8833022,49093.2119973
2023,45105.9881977,49659.1187529
2024,45970.4734932,50248.2781714
2025,47278.284577,51140.4090041
2026,48274.9024865,51818.9774983
2027,49192.1821995,52443.6346556
2028,49900.7938985,52926.3385954
2029,50935.3517481,53630.7060919
2030,51764.1878601,54195.5970703
2031,52823.1511474,54916.5486899
