year,Base case diesel consumed,Modeled residential energy efficiency
2017,208450.747842,144189.155597
2018,212178.415276,147916.823031
2019,217148.638521,152887.046277
2020,220876.305956,156614.713711
2021,224603.97339,160342.381146
2022,229574.196636,165312.604391
2023,233301.86407,169040.271825
2024,237029.531504,172767.93926
2025,240757.198938,176495.606694
2026,244484.866372,180223.274128
2027,248212.533807,183950.941562
2028,251940.201241,187678.608997
2029,255667.868675,191406.276431
2030,259395.536109,195133.943865
2031,263123.203544,198861.611299
2032,266850.870978,202589.278734
2033,269335.982601,205074.390356
2034,273063.650035,208802.057791
2035,276791.317469,212529.725225
2036,280518.984903,216257.392659
