year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2004,,1.56,3.05
2005,,1.82,3.4
2008,,3.06,5.68
2009,,3.9,7.65
2010,,3.0,5.07
2011,,3.08,5.35
2012,,3.5,5.78
2013,,3.55,6.61
2014,,,6.51
2016,,1.87,4.33
2017,,2.22,4.68
2018,,2.49,4.95
2019,,2.85,5.31
2020,,3.02,5.48
2021,,3.14,5.6
2022,,3.22,5.68
2023,,3.29,5.75
2024,,3.34,5.8
2025,,3.4,5.86
2026,,3.47,5.93
2027,,3.53,5.99
2028,,3.58,6.04
2029,,3.65,6.11
2030,,3.69,6.15
2031,,3.76,6.22
2032,,3.84,6.3
2033,,3.92,6.38
2034,,4.0,6.46
2035,,4.05,6.51
2036,,4.13,6.59
2037,,4.17,6.63
2038,,4.26,6.72
2039,,4.32,6.78
2040,,4.4,6.86
