year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,56724.01,801748.99,1010182.07,97207.75,567039.15,528483.81
2018,61563.61,848008.07,1085535.05,103759.33,588361.16,556792.29
2019,67691.99,909686.86,1189136.93,111754.86,616790.5,595488.08
2020,71506.85,938812.95,1247099.14,117134.03,630215.47,617485.76
2021,74678.22,959372.54,1295098.56,121747.49,639691.92,635943.05
2022,77324.58,973078.94,1342123.52,125743.67,646009.55,654574.12
2023,79826.69,985072.03,1380247.12,129549.59,651537.48,669517.44
2024,82075.28,993638.53,1414152.01,133066.81,655486.0,682973.64
2025,84472.02,1003918.33,1450837.24,136740.51,660224.22,697377.22
2026,87037.19,1015911.43,1490414.64,140602.35,665752.15,712762.14
2027,89449.58,1026191.22,1528031.78,144269.47,670490.38,727448.8
2028,91720.51,1034757.72,1563576.84,147766.06,674438.9,741403.23
2029,94545.36,1046750.82,1604608.03,152026.5,679966.82,757229.76
2030,96888.43,1053604.01,1638379.22,155711.13,683125.64,770542.53
2031,99660.12,1065597.11,1680342.33,159844.71,688653.57,786652.14
2032,102439.03,1079303.51,1725495.81,163879.44,694971.2,803833.68
2033,105191.94,1093009.9,1763111.78,167851.41,701288.83,817844.57
2034,107985.18,1106716.3,1809358.71,171874.78,707606.46,835358.26
2035,110359.56,1115282.8,1847898.34,175449.22,711554.98,850222.32
2036,113362.36,1128989.19,1895226.29,179796.47,717872.62,868064.38
2037,115786.43,1135842.39,1931780.81,183523.72,721031.43,882222.62
2038,119074.85,1151262.09,1974475.85,188225.42,728138.77,897879.15
2039,121754.99,1161541.88,2017572.66,192168.46,732876.99,914230.33
2040,124734.09,1175248.28,2067000.54,196409.76,739194.63,932710.26
