year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,145910.1,12121.65,171329.95,208450.75
2018,147540.89,12438.2,171329.95,212178.42
2019,148921.92,12749.07,171329.95,217148.64
2020,150582.56,13049.74,171329.95,220876.31
2021,151990.05,13336.44,171329.95,224603.97
2022,153373.11,13614.53,171329.95,229574.2
2023,154831.84,13883.96,171329.95,233301.86
2024,156173.26,14151.98,171329.95,237029.53
2025,157517.67,14416.1,171329.95,240757.2
2026,158874.19,14678.52,171329.95,244484.87
2027,160146.64,14934.25,171329.95,248212.53
2028,161421.1,15186.62,171329.95,251940.2
2029,162922.24,15474.98,171329.95,255667.87
2030,164346.59,15755.34,171329.95,259395.54
2031,165696.58,16023.66,171329.95,263123.2
2032,166896.74,16261.3,171329.95,266850.87
2033,168021.58,16488.9,171329.95,269335.98
2034,169221.58,16717.11,171329.95,273063.65
2035,170421.57,16953.46,171329.95,276791.32
2036,171696.52,17203.33,171329.95,280518.98
2037,173046.49,17465.17,171329.95,284246.65
2038,174321.46,17720.63,171329.95,286731.76
2039,175521.43,17959.13,171329.95,290459.43
2040,176646.4,18183.97,171329.95,294187.1
