year,Base case cost,Modeled water and wastewater efficiency
2017,28188.1655691,33204.0352501
2018,29927.8542467,34317.4573003
2019,32347.6808958,35862.8775027
2020,33521.1019725,36617.2855736
2021,34347.3733405,37153.3042385
2022,35044.72726,37610.6542275
2023,35537.2242396,37932.1907149
2024,35927.1224709,38188.7690134
2025,36370.4770971,38479.4123761
2026,36932.7846295,38847.2554015
2027,37436.1204817,39176.8340767
2028,37855.5193724,39455.4954576
2029,38362.5176818,39787.7705301
2030,38763.8668939,40052.8143526
2031,39343.4322735,40433.4696698
