year,Base case diesel consumed,Modeled transmission and interties
2021,72668.0718976,36334.0359488
2022,73146.151318,36573.075659
2023,73385.1910282,36692.5955141
2024,73624.2307384,36812.1153692
2025,73863.2704486,36931.6352243
2026,74341.3498689,37170.6749345
2027,74580.3895791,37290.1947896
2028,75058.4689995,37529.2344998
2029,75297.5087097,37648.7543548
2030,75536.5484199,37768.2742099
2031,76014.6278403,38007.3139201
2032,76253.6675505,38126.8337752
2033,76731.7469708,38365.8734854
2034,77209.8263912,38604.9131956
2035,77448.8661014,38724.4330507
2036,77926.9455218,38963.4727609
2037,78165.985232,39082.992616
2038,78405.0249422,39202.5124711
2039,78883.1043625,39441.5521813
2040,79361.1837829,39680.5918915
