year,Base case cost,Chuathbaluk (mission creek)
2021,140249.378762,1499122.47074
2022,145195.110366,1502044.93319
2023,148605.011832,1503983.36618
2024,151297.794167,1505572.54716
2025,154374.235237,1507361.45331
2026,158718.78197,1510050.598
2027,162212.347335,1512072.69489
2028,165503.924144,1514260.67034
2029,169042.907053,1516328.18478
2030,171845.647655,1518027.32402
2031,176353.936589,1520880.21092
2032,180339.923757,1523210.79605
2033,184923.5102,1526138.98045
2034,189936.172922,1529312.30758
2035,192847.676592,1531120.20989
2036,197934.441625,1534367.63933
2037,200886.582046,1536216.17839
2038,205421.165348,1538911.4261
2039,209829.057604,1541847.84988
2040,215465.613971,1545461.13709
2041,216114.606784,1546110.1299
2042,217412.59241,1547408.11553
2043,218061.585223,1548057.10834
2044,219359.57085,1549355.09397
2045,220008.563663,1550004.08678
2046,221306.549289,1551302.0724
2047,221955.542102,1551951.06522
2048,223253.527729,1553249.05084
2049,223902.520542,1553898.04366
2050,225200.506168,1555196.02928
