year,Base case diesel consumed,Modeled non-residential ashp
2017,30974.8427231,16254.944448
2018,30974.8427231,16254.944448
2019,30974.8427231,16254.944448
2020,30974.8427231,16254.944448
2021,29761.6097824,15041.7115074
2022,29761.6097824,15041.7115074
2023,29761.6097824,15041.7115074
2024,29761.6097824,15041.7115074
2025,29761.6097824,15041.7115074
2026,29761.6097824,15041.7115074
2027,28548.3768418,13828.4785667
2028,28548.3768418,13828.4785667
2029,28548.3768418,13828.4785667
2030,28548.3768418,13828.4785667
2031,28548.3768418,13828.4785667
