year,Base case diesel consumed,Modeled diesel efficiency
2019,125753.552095,114321.410996
2020,126272.582086,114793.256442
2021,126791.612077,115265.101889
2022,127310.642068,115736.947335
2023,127829.672059,116208.792781
2024,128348.70205,116680.638227
2025,128867.732041,117152.483674
2026,129386.762032,117624.32912
2027,129905.792023,118096.174566
2028,130498.969156,118635.426505
2029,131092.146288,119174.678444
2030,131611.176279,119646.52389
2031,132204.353412,120185.775829
2032,132723.383403,120657.621275
2033,133168.266252,121062.060229
2034,133613.149101,121466.499183
2035,134132.179092,121938.344629
2036,134651.209083,122410.190076
2037,135170.239074,122882.035522
2038,135615.121924,123286.474476
