year,Base case diesel consumed,Modeled residential energy efficiency
2017,174344.677072,118025.528813
2018,178072.344506,121753.196247
2019,180557.456129,124238.30787
2020,184285.123563,127965.975304
2021,186770.235186,130451.086927
2022,190497.90262,134178.754361
2023,192983.014243,136663.865984
2024,196710.681677,140391.533418
2025,200438.349111,144119.200852
2026,202923.460734,146604.312475
2027,206651.128169,150331.979909
2028,210378.795603,154059.647344
2029,214106.463037,157787.314778
2030,216591.57466,160272.426401
2031,220319.242094,164000.093835
