year,Base case diesel consumed,Modeled solar power (pv)
2016,124344.756406,122700.052145
2017,124789.639255,123158.092629
2018,125308.669246,123690.174993
2019,125753.552095,124148.005796
2020,126272.582086,124679.880157
2021,126791.612077,125211.651764
2022,127310.642068,125743.321437
2023,127829.672059,126274.889993
2024,128348.70205,126806.358241
2025,128867.732041,127337.726982
2026,129386.762032,127868.997014
2027,129905.792023,128400.169125
2028,130498.969156,129005.391241
2029,131092.146288,129610.516996
2030,131611.176279,130141.400022
2031,132204.353412,130746.335364
2032,132723.383403,131277.0295
2033,133168.266252,131733.48318
2034,133613.149101,132189.844294
2035,134132.179092,132720.260724
