year,Base case cost,Modeled solar power (pv)
2016,233768.142043,250061.717826
2017,279528.791931,294845.138099
2018,314524.759808,329028.57089
2019,360912.694514,374475.828235
2020,383868.649543,396812.080265
2021,400661.494164,413077.409612
2022,413759.586722,425706.667242
2023,423116.214516,434651.767742
2024,431251.638889,442400.77617
2025,440727.643581,451484.290144
2026,452853.667113,463196.729703
2027,462464.619602,472433.752146
2028,471101.278652,480720.269164
2029,482419.09834,491666.730518
2030,489593.575758,498522.643538
2031,501054.49943,509629.066373
2032,513639.493768,521853.421918
2033,526014.651695,533876.315382
2034,538460.990879,545978.583096
2035,547259.290697,554483.184623
