year,Base case diesel consumed,Modeled residential ashp
2017,25960.9864924,-148383.690579
2018,26516.0589244,-147828.618147
2019,26886.1072124,-147458.569859
2020,27441.1796444,-146903.497427
2021,27811.2279324,-146533.449139
2022,28366.3003644,-145978.376707
2023,28736.3486524,-145608.328419
2024,29291.4210844,-145053.255987
2025,29846.4935164,-144498.183555
2026,30216.5418044,-144128.135267
2027,30771.6142364,-143573.062835
2028,31326.6866684,-143017.990403
2029,31881.7591004,-142462.917971
2030,32251.8073884,-142092.869683
2031,32806.8798204,-141537.797251
