year,Base case cost,Modeled diesel efficiency
2019,360912.694514,553192.836985
2020,383868.649543,568786.331075
2021,400661.494164,578900.643275
2022,413759.586722,585776.837862
2023,423116.214516,589369.618949
2024,431251.638889,591967.369002
2025,440727.643581,595896.283704
2026,452853.667113,602344.126194
2027,462464.619602,606612.786079
2028,471101.278652,610100.456517
2029,482419.09834,616127.823476
2030,489593.575758,618488.395723
2031,501054.49943,624843.276863
2032,513639.493768,632315.293689
2033,526014.651695,639689.570802
2034,538460.990879,647219.398921
2035,547259.290697,651521.538991
2036,560149.029787,659629.801768
2037,569066.706503,664211.700562
2038,581788.873053,672334.845648
