year,Base case diesel consumed,Modeled residential energy efficiency
2017,17609.1385465,13055.6971702
2018,17609.1385465,13055.6971702
2019,17609.1385465,13055.6971702
2020,17609.1385465,13055.6971702
2021,17609.1385465,13055.6971702
2022,17609.1385465,13055.6971702
2023,16485.2245148,11931.7831385
2024,16485.2245148,11931.7831385
2025,16485.2245148,11931.7831385
2026,16485.2245148,11931.7831385
2027,16485.2245148,11931.7831385
2028,15361.3104831,10807.8691068
2029,15361.3104831,10807.8691068
2030,15361.3104831,10807.8691068
2031,15361.3104831,10807.8691068
