year,Base case diesel consumed,Modeled residential ashp
2017,2858.65870557,-14750.4798409
2018,2858.65870557,-14750.4798409
2019,2858.65870557,-14750.4798409
2020,2858.65870557,-14750.4798409
2021,2858.65870557,-14750.4798409
2022,2858.65870557,-14750.4798409
2023,2676.20306627,-14932.9354802
2024,2676.20306627,-14932.9354802
2025,2676.20306627,-14932.9354802
2026,2676.20306627,-14932.9354802
2027,2676.20306627,-14932.9354802
2028,2493.74742697,-15115.3911195
2029,2493.74742697,-15115.3911195
2030,2493.74742697,-15115.3911195
2031,2493.74742697,-15115.3911195
