year,Base case diesel consumed,Modeled non-residential ashp
2017,831719.40808,582203.585656
2018,831719.40808,582203.585656
2019,831719.40808,582203.585656
2020,831719.40808,582203.585656
2021,831719.40808,582203.585656
2022,831719.40808,582203.585656
2023,831719.40808,582203.585656
2024,831719.40808,582203.585656
2025,831719.40808,582203.585656
2026,831719.40808,582203.585656
2027,831719.40808,582203.585656
2028,831719.40808,582203.585656
2029,831719.40808,582203.585656
2030,831719.40808,582203.585656
2031,831719.40808,582203.585656
