year,Base case diesel consumed,Modeled wind power
2019,751953.589233,545729.67692
2020,749236.792416,543012.880103
2021,746821.861911,540597.949598
2022,744406.931407,538183.019094
2023,741765.601168,535541.688855
2024,738897.871194,532673.958881
2025,736181.074377,529957.162064
2026,733539.744138,527315.831825
2027,730672.014164,524448.101851
2028,728030.683925,521806.771612
2029,724181.888434,517957.976121
2030,720861.35899,514637.446677
2031,717616.296125,511392.383812
2032,715050.432464,508826.520151
2033,712937.368273,506713.45596
2034,710748.837504,504524.925191
2035,708182.973843,501959.06153
2036,705617.110182,499393.197869
2037,702824.846787,496600.934473
2038,700258.983126,494035.070813
