year,Base case cost,Modeled biomass for heat (pellet)
2017,2397480.26597,2814829.76388
2018,2622044.39597,2967587.25387
2019,2929780.42597,3179850.21708
2020,3087807.03597,3285487.27586
2021,3187613.31597,3349758.73438
2022,3270785.21597,3402326.2847
2023,3320688.35597,3431319.88716
2024,3370591.49597,3460468.29672
2025,3420494.63597,3489767.88508
2026,3487032.15597,3531081.34416
2027,3545252.48597,3566605.86103
2028,3595155.62597,3596338.05656
2029,3653375.95597,3632140.86597
2030,3694961.90597,3656211.714
2031,3761499.42597,3698213.04148
2032,,
2033,,
2034,,
2035,,
2036,,
