year,Base case cost,Allen glacier (unnamed creek) -- unnamed creek,Lake 1120 (cordova),Lake 1488 (cordova),Sheep river lakes,Sheep bay (sanlin creek),Orca creek,Meals lake (eccles creek),"Meakerville, eyak (robinson falls creek)",Snyder falls -- snyder falls creek,"Cordova (heney creek, lower)","Cordova (hartney creek, lower)",Cordova (fidalgo creek),Crater lake,Van cleve lake (cordova),"Cordova (unnamed falls) -- unnamed creek, 2","Cordova (unnamed creek) -- unnamed creek, 1",Cordova (humpback creek),Karluk (marys creek),"Flemming creek, knights island"
2018,1659112.66401,,,,,,,,,,,,,,,,,1626502.31655,,
2019,1932520.72433,,,,,,,,,,,,,,,,,1824694.58963,,
2020,2067893.54707,,,,,,,,,,,,,,,,,1917757.52855,,
2021,2150846.96231,4762220.151,5504897.35434,8778247.43493,8687099.8232,2752588.35504,2575437.61154,2432932.9688,2433142.99163,15228826.7885,2566474.27709,2805703.30971,4297257.67547,4247768.12617,82469517.7766,2719588.92231,12071624.46,1971307.42886,4175515.2016,2415411.77412
2022,2218332.65559,4750387.83685,5459970.75487,8601329.86203,8514294.961,2806254.40694,2632235.95838,2491419.53041,2452654.47889,14927964.9635,2622222.93574,2854004.48805,4279030.14487,4258962.51219,80757155.1045,2769855.7474,11824208.8675,2013202.99624,4195677.90524,2474813.65754
2023,2254967.42755,4716017.41287,5397584.22335,8425661.43967,8342149.31043,2829836.81319,2658965.92196,2520064.16795,2452362.6401,14630422.2372,2648215.19629,2873357.46401,4242069.61118,4244074.78391,79098065.2387,2791067.67369,11580813.0301,2031692.34569,4187783.65587,2504219.15068
2024,2290583.4007,4682051.36123,5336098.01628,8252965.23296,8172911.74178,2852689.77777,2684889.36148,2547847.47163,2451546.894,14338739.3379,2673407.49053,2892042.41878,4205437.65359,4229246.99668,77476116.399,2811570.27371,11341935.0071,2049332.5597,4179851.33744,2532750.44472
2025,2326332.19503,4649607.9465,5276618.77439,8084299.32289,8007641.83917,2875958.13889,2711152.92173,2575917.37087,2451347.26163,14053906.6685,2698946.30958,2911202.75104,4170254.31311,4215605.48763,75891565.8383,2832507.91421,11108596.6547,2067271.28179,4173009.58419,2561555.77059
2026,2376668.77101,4629681.81289,5227844.62894,7920020.68543,7846960.17943,2913854.74711,2751924.12018,2618301.34545,2460936.96297,13776658.5952,2738846.3858,2944513.63118,4145574.60777,4215748.43787,74335471.0658,2867588.91101,10880525.6169,2096324.10504,4180796.05872,2604733.54865
2027,2418524.36688,4604314.00178,5175233.27812,7757981.30831,7688326.98435,2943657.60359,2784553.32699,2652562.9289,2465141.79448,13504117.3385,2770686.89528,2970056.09903,4116353.31469,4209331.10724,72817696.4393,2894846.92715,10656430.2684,2118871.70151,4181462.35424,2639741.63082
2028,2453463.40483,4575037.87048,5120307.25366,7599658.49822,7533220.96051,2966924.81442,2810600.33081,2680263.10625,2465515.37588,13237697.1749,2796027.48351,2989386.92002,4084125.44566,4197894.37126,71338973.432,2915839.62968,10437754.1787,2136474.79006,4176551.48566,2668141.28297
2029,2491185.69621,4548095.1514,5067012.55464,7440660.356,7377513.70883,2993114.53596,2839477.83371,2710674.45572,2466476.55606,12973388.1345,2824128.0778,3011426.66689,4053192.98772,4189282.95776,69885664.3921,2939520.67179,10219478.5465,2155194.08137,4174847.5082,2699276.00365
2030,2515806.14288,4512712.73367,5007993.48818,7286028.65815,7225855.14141,3006688.87702,2855720.1952,2728544.41608,2460035.55458,12715506.6586,2839751.85363,3021440.58139,4015696.44944,4170337.44575,68474875.9066,2951107.85509,10007503.9073,2164594.17149,4161787.18385,2717787.53031
2031,2561890.17717,4494857.76357,4963494.21511,7135231.11476,7078369.60451,3041618.67034,2893182.0715,2767375.52726,2467571.71048,12464570.4643,2876371.74641,3052057.5618,3992751.11526,4171021.11673,67084087.5958,2983311.41754,9799781.66243,2190148.33365,4169678.88196,2757355.27963
2032,2609934.0785,4480139.88021,4922542.27078,6989694.72852,6936092.17456,3078747.68133,2932779.40439,2808296.75744,2477477.09811,12221284.0035,2915132.52025,3084924.56573,3972880.17062,4174556.96753,65726824.2225,3017730.83673,9598599.06419,2217802.70504,4180341.68783,2799002.50608
2033,2666385.75734,4473265.53145,4888691.90715,6848786.71632,6798522.37835,3124400.46711,2980814.69671,2857541.026,2493554.82672,11985180.2514,2962260.23334,3126096.82233,3959820.85234,4186455.95034,64397531.8613,3060438.24262,9402996.3865,2252184.16495,4199757.0729,2848997.70148
2034,2722168.04764,4466844.47859,4855686.07677,6710357.67188,6663380.95727,3169612.12696,3028348.05578,2906240.124,2509353.56747,11753833.3915,3008891.18634,3166876.40523,3947155.03725,4198536.52057,63097672.9153,3102720.39082,9211091.93939,2286030.07707,4219276.72902,2898437.57742
2035,2754831.76825,4443542.84004,4809609.47031,6572894.57729,6528762.87976,3192281.36015,3053350.25218,2932577.7737,2510320.60875,11525011.7912,3033224.98109,3185965.28959,3920462.28677,4191077.68488,61837878.7004,3123231.72023,9022235.0613,2302341.3495,4217775.61773,2925400.1249
2036,2808356.09852,4437030.87335,4777267.90661,6438284.6442,6397342.91433,3235675.66073,3098948.8795,2979258.68173,2524614.95503,11301880.975,3077931.18777,3225021.03748,3907590.14377,4202542.87974,60593867.3165,3163727.13865,8836503.19085,2334187.64604,4236530.65964,2972802.22111
2037,2832384.13255,4408923.67544,4728265.8025,6305123.82161,6266800.67544,3250257.22503,3115772.33412,2997406.7336,2520317.42021,11081433.7846,3094172.30965,3236381.72242,3876949.80539,4188968.48847,59393443.1087,3176432.74794,8654543.86868,2343933.26344,4228299.63262,2991520.71707
2038,2885067.01048,4403636.91237,4697869.63857,6175467.98217,6140241.67194,3293230.26282,3160837.76354,3043474.85179,2534488.97016,10867450.3028,3138354.84128,3275105.39918,3865192.79859,4201158.72154,58204004.0081,3216536.11413,8476010.53095,2375184.48407,4247637.38751,3038291.34119
2039,2922701.76063,4387726.9076,4659482.88288,6047566.9532,6015130.41068,3321593.39772,3191286.37971,3075029.04649,2539229.55093,10656801.3516,3168077.78937,3299798.48162,3844700.80456,4200888.73393,57048777.4699,3242547.7456,8300908.88216,2395141.9355,4253509.01282,3070468.3817
2040,2981124.67254,4388437.22468,4634628.05114,5922174.89427,5892877.43684,3370589.4501,3242244.52535,3126843.32999,2557191.2922,10451302.3788,3218085.80142,3344362.09562,3837865.22889,4219396.8788,55906663.0567,3288449.94654,8128482.81153,2430550.41099,4279497.56666,3123002.67738
2041,2972707.1304,4340396.74852,4572779.62398,5802642.32406,5775130.43324,3354115.8292,3227916.9789,3114041.75895,2534995.32744,10251374.956,3203575.67823,3326178.4487,3791935.01888,4180945.81751,54835826.4101,3271416.28687,7965918.76338,2417409.22031,4243775.23393,3110559.29161
2042,2963965.83664,4292961.18324,4511859.73153,5685390.26063,5659622.0872,3337507.27101,3213404.19655,3101019.18697,2512798.54282,10055612.2944,3188884.59828,3307899.94322,3746560.26039,4142874.91519,53789566.4589,3254260.81582,7806643.77224,2404054.98854,4208369.10559,3097886.50993
2043,2955224.54288,4246432.51509,4452162.7752,5570681.41881,5546616.0944,3321083.10186,3199026.68349,3088096.95746,2490917.12133,9864232.94675,3174332.96647,3289844.96619,3702044.09888,4105491.42568,52767623.3555,3237302.55209,7650896.91525,2390808.8725,4173587.93442,3085305.8725
2044,2946159.4975,4200465.73678,4393336.34041,5458132.43939,5435730.05346,3304515.24846,3184457.51767,3074948.967,2469019.91991,9676810.42622,3159593.76282,3271684.52696,3658042.65907,4068455.48591,51769103.4141,3220213.12194,7498271.74898,2377344.58662,4139093.32116,3072491.46807
2045,2938065.70698,4156335.09783,4336647.44322,5348980.11991,5328201.69736,3289094.49701,3170988.60956,3062867.92544,2448394.72706,9494539.41455,3145958.80214,3254708.51591,3615831.296,4033046.36895,50794745.0804,3204283.0182,7349982.52845,2364954.66281,4106165.96836,3060736.19411
2046,2930295.66808,4113372.82409,4281421.24541,5242520.11121,5223327.59038,3274169.22282,3157969.43239,3051204.08669,2428386.99055,9316674.43291,3132777.46424,3238264.43352,3574743.31512,3998601.20654,49843357.3224,3188860.32966,7205302.88975,2352989.1812,4074144.40376,3049390.48778
2047,2923496.88405,4072206.6233,4228278.5563,5139344.40377,5121700.61509,3260382.90433,3146044.53677,3040602.76375,2409637.32998,9143767.30676,3120694.20854,3222994.9039,3535407.47845,3965752.49725,48915056.8618,3174588.25498,7064803.32499,2342093.28516,4043662.48921,3039099.84103
2048,2917345.60325,4032493.41209,4176869.55571,5039075.03372,5022943.67877,3247407.85942,3134887.28762,3030738.06605,2391815.27131,8975400.84811,3109382.31089,3208571.41063,3497481.73218,3934161.83634,48009001.6,3161138.83879,6928084.87552,2331940.91844,4014383.15128,3029538.53806
2049,2910870.57084,3993243.05669,4126197.53088,4940687.80389,4926033.43504,3234268.99481,3123523.6142,3020636.64991,2373942.99478,8810512.55459,3097867.61353,3194018.04564,3459976.94804,3902843.65904,47123714.0778,3147536.72096,6794102.84124,2321558.57555,3985322.12535,3019733.40583
2050,2904719.29005,3955084.62476,4076885.12499,4844778.51844,4831566.5188,3221610.06542,3112598.26995,3010943.97878,2356661.59285,8649660.82456,3086794.78497,3179977.76824,3423523.17554,3872431.49474,46259347.481,3134425.39587,6663433.0048,2311591.56188,3957114.21042,3010330.07445
2051,2904719.29005,3923827.64128,4034735.58882,4757124.21713,4745320.78118,3215254.93986,3107936.09862,3007485.58979,2345792.33394,8498586.16732,3081988.58598,3172273.67001,3393930.89852,3848739.22572,45421246.5875,3127628.47762,6541832.85298,2307865.26021,3935574.52868,3007154.24381
2052,2904719.29005,3893303.24333,3993573.93237,4671524.31346,4661096.42799,3209048.76254,3103383.19692,3004108.25679,2335177.82328,8351052.32226,3077295.03228,3164750.13657,3365032.19048,3825602.24424,44602788.6833,3120990.86213,6423082.70464,2304226.29375,3914539.68321,3004052.8467
2053,2904719.29005,3863494.26106,3953377.0024,4587930.65785,4578846.08338,3202988.04253,3098937.00388,3000810.08004,2324812.09026,8206976.30224,3072711.48376,3157402.93598,3336810.79601,3803007.53585,43803513.3892,3114508.81578,6307115.76333,2300672.61557,3893997.84202,3001024.13859
2054,2904719.29005,3834383.92657,3914122.18765,4506296.22784,4498523.48054,3197069.37059,3094595.01844,2997589.20428,2314689.30401,8066277.06274,3068235.36213,3150227.93534,3309250.84024,3780942.39075,43022971.1031,3108178.69234,6193866.79625,2297202.22673,3873937.45005,2998066.41581
2055,2904719.29005,3805955.86564,3875787.40774,4426575.10505,4420083.43897,3191289.41755,3090354.79831,2994443.81781,2304803.77061,7928875.46213,3063864.14961,3143221.0988,3282336.82102,3759394.39756,42260722.7794,3101996.93118,6083272.1022,2293813.17511,3854347.22359,2995178.01466
2056,2904719.29005,3778194.08742,3838351.09927,4348722.44615,4343481.83594,3185644.93215,3086213.95833,2991372.15134,2295149.9294,7794694.21165,3059595.38738,3136378.48499,3256053.59915,3738351.43548,41516339.6515,3095960.05506,5975269.47139,2290503.55441,3835216.14307,2992357.31042
2057,2904719.29005,3751082.9759,3801792.20432,4272694.45904,4268675.58308,3180132.7394,3082170.1693,2988372.47705,2285722.3501,7663657.83439,3055426.67428,3129696.24496,3230386.39033,3717801.66785,40789403.004,3090064.66824,5869798.15238,2287271.50293,3816533.44728,2989602.71643
2058,2904719.29005,3724607.28095,3766090.15833,4198448.37758,4195622.60147,3174749.73864,3078221.15656,2985443.10762,2276515.72966,7535692.62171,3051355.66537,3123170.6199,3205320.75661,3697733.53532,40079503.9314,3084307.45451,5766798.81699,2284115.20266,3798288.6271,2986912.68324
2059,2904719.29005,3698752.11032,3731224.87933,4125942.43924,4124281.7997,3169492.902,3074364.69884,2982582.3953,2267524.88946,7410726.59472,3047380.07077,3116797.93924,3180842.59888,3678135.7498,39386243.1239,3078685.17553,5666213.52934,2281032.87817,3780471.42004,2984285.69771
2060,2904719.29005,3673502.92008,3697176.75508,4055135.85836,4054613.0475,3164359.27244,3070598.62682,2979788.73091,2258744.77201,7288689.45817,3043497.65413,3110574.61823,3156938.14781,3658997.28726,38709230.6121,3073194.66868,5567985.70872,2278022.79566,3763071.80365,2981720.28214
