year,Base case diesel consumed,Allen glacier (unnamed creek) -- unnamed creek,Lake 1120 (cordova),Lake 1488 (cordova),Sheep river lakes,Sheep bay (sanlin creek),Orca creek,Meals lake (eccles creek),"Meakerville, eyak (robinson falls creek)",Snyder falls -- snyder falls creek,"Cordova (heney creek, lower)","Cordova (hartney creek, lower)",Cordova (fidalgo creek),Crater lake,Van cleve lake (cordova),"Cordova (unnamed falls) -- unnamed creek, 2","Cordova (unnamed creek) -- unnamed creek, 1",Cordova (humpback creek),Karluk (marys creek),"Flemming creek, knights island"
2018,754142.120003,,,,,,,,,,,,,,,,,552192.61325,,
2019,751953.589233,,,,,,,,,,,,,,,,,550004.08248,,
2020,749236.792416,,,,,,,,,,,,,,,,,547287.285663,,
2021,746821.861911,556412.326973,429472.637014,0.0,0.0,733740.665878,731124.42667,723275.709053,454052.776979,0.0,722645.62096,703950.866621,448570.592314,645050.156754,0.0,705739.562252,0.0,544872.355158,697113.31698,727200.067859
2022,744406.931407,553997.396469,427057.70651,0.0,0.0,731325.735374,728709.496166,720860.778548,451637.846474,0.0,720230.690456,701535.936116,446155.66181,642635.22625,0.0,703324.631748,0.0,542457.424654,694698.386476,724785.137354
2023,741765.601168,551356.06623,424416.37627,0.0,0.0,728684.405135,726068.165927,718219.448309,448996.516235,0.0,717589.360217,698894.605877,443514.33157,639993.896011,0.0,700683.301509,0.0,539816.094415,692057.056237,722143.807115
2024,738897.871194,548488.336256,421548.646297,0.0,0.0,725816.675161,723200.435953,715351.718336,446128.786261,0.0,714721.630243,696026.875904,440646.601597,637126.166037,0.0,697815.571535,0.0,536948.364441,689189.326263,719276.077142
2025,736181.074377,545771.539438,418831.849479,0.0,0.0,723099.878344,720483.639136,712634.921518,443411.989444,0.0,712004.833426,693310.079086,437929.804779,634409.36922,0.0,695098.774718,0.0,534231.567624,686472.529446,716559.280324
2026,733539.744138,543130.209199,416190.51924,0.0,0.0,720458.548105,717842.308897,709993.591279,440770.659205,0.0,709363.503187,690668.748847,435288.47454,631768.038981,0.0,692457.444478,0.0,531590.237385,683831.199207,713917.950085
2027,730672.014164,540262.479225,413322.789266,0.0,0.0,717590.818131,714974.578923,707125.861305,437902.929231,0.0,706495.773213,687801.018873,432420.744566,628900.309007,0.0,689589.714505,0.0,528722.507411,680963.469233,711050.220111
2028,728030.683925,537621.148986,410681.459027,0.0,0.0,714949.487892,712333.248684,704484.531066,435261.598992,0.0,703854.442974,685159.688634,429779.414327,626258.978768,0.0,686948.384266,0.0,526081.177172,678322.138994,708408.889872
2029,724181.888434,533772.353495,406832.663536,0.0,0.0,711100.692401,708484.453193,700635.735575,431412.803501,0.0,700005.647483,681310.893143,425930.618836,622410.183277,0.0,683099.588774,0.0,522232.381681,674473.343503,704560.094381
2030,720861.35899,530451.824052,403512.134093,0.0,0.0,707780.162957,705163.923749,697315.206132,428092.274058,0.0,696685.118039,677990.3637,422610.089393,619089.653833,0.0,679779.059331,0.0,518911.852237,671152.814059,701239.564938
2031,717616.296125,527206.761187,400267.071228,0.0,0.0,704535.100092,701918.860884,694070.143267,424847.211192,0.0,693440.055174,674745.300835,419365.026528,615844.590968,0.0,676533.996466,0.0,515666.789372,667907.751194,697994.502073
2032,715050.432464,524640.897526,397701.207567,0.0,0.0,701969.236431,699352.997223,691504.279606,422281.347532,0.0,690874.191513,672179.437174,416799.162867,613278.727307,0.0,673968.132805,0.0,513100.925711,665341.887533,695428.638412
2033,712937.368273,522527.833335,395588.143376,0.0,0.0,699856.17224,697239.933032,689391.215415,420168.28334,0.0,688761.127322,670066.372983,414686.098676,611165.663116,0.0,671855.068614,0.0,510987.86152,663228.823342,693315.57422
2034,710748.837504,520339.302565,393399.612606,0.0,0.0,697667.64147,695051.402263,687202.684645,417979.752571,0.0,686572.596552,667877.842213,412497.567906,608977.132347,0.0,669666.537844,0.0,508799.330751,661040.292573,691127.043451
2035,708182.973843,517773.438904,390833.748945,0.0,0.0,695101.77781,692485.538602,684636.820984,415413.88891,0.0,684006.732892,665311.978552,409931.704245,606411.268686,0.0,667100.674183,0.0,506233.46709,658474.428912,688561.17979
