year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,756330.65,11277.77,831719.41,936275.15
2018,754142.12,11224.88,831719.41,926252.76
2019,751953.59,11174.02,831719.41,916230.36
2020,749236.79,11109.27,831719.41,904955.18
2021,746821.86,11052.08,831719.41,893679.99
2022,744406.93,10993.3,831719.41,882404.8
2023,741765.6,10931.18,831719.41,871129.61
2024,738897.87,10863.46,831719.41,858601.62
2025,736181.07,10799.6,831719.41,846073.63
2026,733539.74,10736.1,831719.41,834798.44
2027,730672.01,10667.64,831719.41,822270.45
2028,728030.68,10606.27,831719.41,810995.26
2029,724181.89,10515.33,831719.41,793456.08
2030,720861.36,10436.03,831719.41,778422.5
2031,717616.3,10359.5,831719.41,764641.71
2032,715050.43,,,752113.72
2033,712937.37,,,743344.13
2034,710748.84,,,733321.74
2035,708182.97,,,722046.55
2036,705617.11,,,710771.36
