year,Base case cost,Modeled water and wastewater efficiency
2017,78310.0591949,143812.122421
2018,81646.4851313,143956.370986
2019,86330.5711143,145050.307173
2020,88407.1461625,144445.12858
2021,89569.4676738,143277.413998
2022,90432.7721229,141954.609144
2023,90718.4934603,140288.995756
2024,90947.6984674,138627.103799
2025,91199.9017558,137023.770246
2026,91708.3617861,135632.877217
2027,92030.563703,134156.227651
2028,92273.7583934,132668.008203
2029,92374.2394087,131114.211415
2030,92308.1131984,129489.792391
2031,92637.4340722,128166.926409
