year,Base case cost,Modeled biomass for heat (cordwood)
2017,2397480.26597,3170203.11946
2018,2622044.39597,3321213.02684
2019,2929780.42597,3534073.85685
2020,3087807.03597,3636581.50941
2021,3187613.31597,3696376.2845
2022,3270785.21597,3744199.56234
2023,3320688.35597,3767743.94777
2024,3370591.49597,3791601.33454
2025,3420494.63597,3815764.38664
2026,3487032.15597,3852525.64291
2027,3545252.48597,3883428.553
2028,3595155.62597,3908466.28473
2029,3653375.95597,3939931.86883
2030,3694961.90597,3959369.2355
2031,3761499.42597,3997521.27887
2032,,
2033,,
2034,,
2035,,
2036,,
