year,Base case cost,Modeled solar power (pv)
2016,1189453.32469,1295450.93338
2017,1459718.15599,1559457.96735
2018,1659112.66401,1753661.63847
2019,1932520.72433,2020938.90578
2020,2067893.54707,2152161.65435
2021,2150846.96231,2231769.7051
2022,2218332.65559,2296186.63526
2023,2254967.42755,2330224.88495
2024,2290583.4007,2363304.58787
2025,2326332.19503,2396576.03155
2026,2376668.77101,2444295.64334
2027,2418524.36688,2483691.60106
2028,2453463.40483,2516324.69662
2029,2491185.69621,2551698.64225
2030,2515806.14288,2574215.95301
2031,2561890.17717,2617962.62991
2032,2609934.0785,2663722.58164
2033,2666385.75734,2717849.34787
2034,2722168.04764,2771359.35592
2035,2754831.76825,2802077.52374
