year,Base case cost,Modeled wind power
2019,1932520.72433,2445358.60812
2020,2067893.54707,2527958.86524
2021,2150846.96231,2570867.61998
2022,2218332.65559,2602260.3468
2023,2254967.42755,2610249.61306
2024,2290583.4007,2617644.92925
2025,2326332.19503,2625587.95807
2026,2376668.77101,2645017.72819
2027,2418524.36688,2658115.29334
2028,2453463.40483,2666435.80211
2029,2491185.69621,2676163.80207
2030,2515806.14288,2676664.66272
2031,2561890.17717,2693729.66016
2032,2609934.0785,2713105.95144
2033,2666385.75734,2739480.10638
2034,2722168.04764,2765520.01951
2035,2754831.76825,2774027.96614
2036,2808356.09852,2798456.83148
2037,2832384.13255,2800713.94577
2038,2885067.01048,2824918.30252
