year,Base case diesel consumed,Modeled solar power (pv)
2016,757613.582603,746927.274373
2017,756330.650772,745729.833008
2018,754142.120003,743626.108781
2019,751953.589233,741521.706101
2020,749236.792416,738888.364349
2021,746821.861911,736556.221269
2022,744406.931407,734223.41589
2023,741765.601168,731663.553775
2024,738897.871194,728876.640181
2025,736181.074377,726240.013211
2026,733539.744138,723678.211462
2027,730672.014164,720889.373749
2028,728030.683925,718326.304633
2029,724181.888434,714555.144177
2030,720861.35899,711311.628687
2031,717616.296125,708142.963665
2032,715050.432464,705652.886663
2033,712937.368273,703615.002839
2034,710748.837504,701501.050993
2035,708182.973843,699009.169624
