year,Base case diesel consumed,Modeled non-residential ashp
2017,69413.7655044,58678.6473466
2018,69413.7655044,58678.6473466
2019,69413.7655044,58678.6473466
2020,69413.7655044,58678.6473466
2021,69413.7655044,58678.6473466
2022,69413.7655044,58678.6473466
2023,71383.7962066,60648.6780488
2024,71383.7962066,60648.6780488
2025,71383.7962066,60648.6780488
2026,71383.7962066,60648.6780488
2027,71383.7962066,60648.6780488
2028,71383.7962066,60648.6780488
2029,71383.7962066,60648.6780488
2030,73353.8269088,62618.7087511
2031,73353.8269088,62618.7087511
