year,Base case cost,Modeled non-residential energy efficiency
2017,320911.699148,356844.912532
2018,341975.428015,374493.03728
2019,371314.193223,399677.852265
2020,384855.16178,410572.486537
2021,394634.750183,418089.199728
2022,401405.234462,422909.297248
2023,406671.166679,426396.167177
2024,410432.546833,428549.085117
2025,414946.203019,431413.538356
2026,420964.411267,435670.901055
2027,426230.343484,439274.304123
2028,429991.723639,441541.023964
2029,436009.931886,445880.741614
2030,439019.03601,447518.37489
2031,445037.244258,451909.829103
