year,Base case cost,Modeled water and wastewater efficiency
2017,52924.1712989,37902.2918498
2018,53654.9950009,38036.1514423
2019,54548.4426603,38152.1561975
2020,55017.0301242,38225.3579999
2021,55383.8194465,38288.1407233
2022,55653.8114046,38333.4618386
2023,55903.7395647,38387.7375845
2024,56102.5006054,38431.9668579
2025,56320.9846525,38478.049088
2026,56617.0126277,38550.5938415
2027,56872.9403213,38609.3352962
2028,57127.8648003,38688.6568746
2029,57386.8520311,38739.0047123
2030,57585.9915116,38795.4751982
2031,57869.0282275,38860.6062704
