year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,45139.4753176,33403.2117351
2018,45139.4753176,33403.2117351
2019,45139.4753176,33403.2117351
2020,45139.4753176,33403.2117351
2021,45139.4753176,33403.2117351
2022,45139.4753176,33403.2117351
2023,45139.4753176,33403.2117351
2024,45139.4753176,33403.2117351
2025,45139.4753176,33403.2117351
2026,45139.4753176,33403.2117351
2027,45139.4753176,33403.2117351
2028,45139.4753176,33403.2117351
2029,45139.4753176,33403.2117351
2030,45139.4753176,33403.2117351
2031,45139.4753176,33403.2117351
