year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,56021.0,44258.3160125
2018,56021.0,44258.3160125
2019,56021.0,44258.3160125
2020,56021.0,44258.3160125
2021,56021.0,44258.3160125
2022,56021.0,44258.3160125
2023,54998.0,43235.3160125
2024,54998.0,43235.3160125
2025,54998.0,43235.3160125
2026,54998.0,43235.3160125
2027,54998.0,43235.3160125
2028,54998.0,43235.3160125
2029,54998.0,43235.3160125
2030,54998.0,43235.3160125
2031,54998.0,43235.3160125
2032,54998.0,43235.3160125
2033,54998.0,43235.3160125
2034,54998.0,43235.3160125
2035,54998.0,43235.3160125
2036,53976.0,42213.3160125
