year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,37015.15,0.0,45139.48,10881.73
2018,37015.15,0.0,45139.48,10881.73
2019,37015.15,0.0,45139.48,10881.73
2020,37015.15,0.0,45139.48,10881.73
2021,37015.15,0.0,45139.48,10881.73
2022,36924.86,0.0,45139.48,10881.73
2023,36924.86,0.0,45139.48,9859.19
2024,36924.86,0.0,45139.48,9859.19
2025,36924.86,0.0,45139.48,9859.19
2026,36924.86,0.0,45139.48,9859.19
2027,36924.86,0.0,45139.48,9859.19
2028,36834.58,0.0,45139.48,9859.19
2029,36834.58,0.0,45139.48,9859.19
2030,36834.58,0.0,45139.48,9859.19
2031,36834.58,0.0,45139.48,9859.19
2032,36834.58,0.0,45139.48,9859.19
2033,36834.58,0.0,45139.48,9859.19
2034,36834.58,0.0,45139.48,9859.19
2035,36834.58,0.0,45139.48,9859.19
2036,36834.58,0.0,45139.48,8836.64
2037,36834.58,0.0,45139.48,8836.64
2038,36834.58,0.0,45139.48,8836.64
2039,36834.58,0.0,45139.48,8836.64
2040,36744.3,0.0,45139.48,8836.64
