year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,7745.6068328,5034.64444132
2018,7743.18790254,5033.07213665
2019,7741.0949855,5031.71174058
2020,7738.68877349,5030.14770277
2021,7736.20705105,5028.53458318
2022,7734.20036505,5027.23023728
2023,7732.48506669,5026.11529335
2024,7730.30844896,5024.70049182
2025,7728.6956956,5023.65220214
2026,7726.77743803,5022.40533472
2027,7725.57000382,5021.62050248
2028,7723.3798022,5020.19687143
2029,7721.46873609,5018.95467846
2030,7719.50959369,5017.6812359
2031,7716.44989028,5015.69242868
