year,annotation,consumption kWh,residential kWh,non-residential kWh
2003,,40647424.0,10487544.0,30159880.0
2004,,41085276.0,10605224.0,30480052.0
2005,,40762126.0,10606265.0,30155861.0
2006,,39646287.0,10207676.0,29438611.0
2007,,40017709.0,10394450.0,29623259.0
2008,,40114157.0,10489137.0,29625020.0
2009,,39279525.0,10324324.0,28955201.0
2010,,39957651.0,10515736.0,29441915.0
2011,,40080530.0,10604661.0,29475869.0
2012,,42327023.0,11101026.0,31225997.0
2013,,40985806.0,10404921.0,30580885.0
2014,start of forecast,40940174.0,10512590.0,30427584.0
2015,,40939894.0,10512310.0,30427584.0
2016,,40939219.0,10511635.0,30427584.0
2017,,40938706.0,10511122.0,30427584.0
2018,,40938164.0,10510580.0,30427584.0
2019,,40937695.0,10510112.0,30427584.0
2020,,40937156.0,10509573.0,30427584.0
2021,,40936601.0,10509017.0,30427584.0
2022,,40936151.0,10508567.0,30427584.0
2023,,40935767.0,10508183.0,30427584.0
2024,,40935279.0,10507696.0,30427584.0
2025,,40934918.0,10507335.0,30427584.0
2026,,40934489.0,10506905.0,30427584.0
2027,,40934218.0,10506635.0,30427584.0
2028,,40933728.0,10506144.0,30427584.0
2029,,40933300.0,10505716.0,30427584.0
2030,,40932861.0,10505277.0,30427584.0
2031,,40932176.0,10504592.0,30427584.0
2032,,40931817.0,10504234.0,30427584.0
2033,,40931484.0,10503901.0,30427584.0
2034,,40930604.0,10503020.0,30427584.0
2035,,40930521.0,10502937.0,30427584.0
2036,,40930005.0,10502421.0,30427584.0
2037,,40929833.0,10502249.0,30427584.0
2038,,40929204.0,10501620.0,30427584.0
2039,,40929104.0,10501520.0,30427584.0
2040,,40928991.0,10501407.0,30427584.0
