year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2003,,1.99,
2008,,5.12,5.95
2009,,5.02,5.95
2010,,4.31,5.95
2011,,5.13,5.3
2012,,5.76,6.28
2013,,5.94,6.4
2014,,,6.4
2016,,2.59,4.79
2017,,3.08,5.28
2018,,3.44,5.64
2019,,3.94,6.14
2020,,4.18,6.38
2021,,4.34,6.54
2022,,4.46,6.66
2023,,4.55,6.75
2024,,4.62,6.82
2025,,4.7,6.9
2026,,4.8,7.0
2027,,4.89,7.09
2028,,4.96,7.16
2029,,5.05,7.25
2030,,5.11,7.31
2031,,5.21,7.41
2032,,5.32,7.52
2033,,5.42,7.62
2034,,5.53,7.73
2035,,5.6,7.8
2036,,5.71,7.91
2037,,5.78,7.98
2038,,5.89,8.09
2039,,5.98,8.18
2040,,6.1,8.3
