year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,38802.7540229,28426.5579769
2018,38802.7540229,28426.5579769
2019,38802.7540229,28426.5579769
2020,38802.7540229,28426.5579769
2021,38802.7540229,28426.5579769
2022,38802.7540229,28426.5579769
2023,38802.7540229,28426.5579769
2024,38802.7540229,28426.5579769
2025,38802.7540229,28426.5579769
2026,38802.7540229,28426.5579769
2027,38802.7540229,28426.5579769
2028,38802.7540229,28426.5579769
2029,38802.7540229,28426.5579769
2030,38802.7540229,28426.5579769
2031,38802.7540229,28426.5579769
