year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,3140905.25,7745.61,38802.75,7880.7
2018,3140832.71,7743.19,38802.75,7880.7
2019,3140760.16,7741.09,38802.75,7880.7
2020,3140760.16,7738.69,38802.75,7880.7
2021,3140687.62,7736.21,38802.75,7880.7
2022,3140687.62,7734.2,38802.75,7880.7
2023,3140615.08,7732.49,38802.75,7880.7
2024,3140615.08,7730.31,38802.75,7880.7
2025,3140615.08,7728.7,38802.75,7880.7
2026,3140542.53,7726.78,38802.75,8713.0
2027,3140542.53,7725.57,38802.75,8713.0
2028,3140469.99,7723.38,38802.75,8713.0
2029,3140469.99,7721.47,38802.75,8713.0
2030,3140397.45,7719.51,38802.75,8713.0
2031,3140397.45,7716.45,38802.75,8713.0
2032,3140324.9,7714.85,38802.75,8713.0
2033,3140324.9,7713.36,38802.75,8713.0
2034,3140252.36,7709.43,38802.75,8713.0
2035,3140252.36,7709.06,38802.75,8713.0
2036,3140179.82,7706.76,38802.75,8713.0
2037,3140179.82,7705.99,38802.75,8713.0
2038,3140107.27,7703.18,38802.75,8713.0
2039,3140107.27,7702.73,38802.75,8713.0
2040,3140107.27,7702.23,38802.75,8713.0
