year,Base case cost,Modeled non-residential energy efficiency
2017,374578.655659,376435.909698
2018,397956.241468,396296.63151
2019,430425.110647,424324.437327
2020,446010.167853,437256.232805
2021,456400.20599,445559.567577
2022,464192.734593,451560.128559
2023,470037.131046,455838.928105
2024,474582.772731,458976.991464
2025,479777.791799,462718.481669
2026,486271.565635,467644.448861
2027,492115.962088,472009.704834
2028,496661.603773,475232.198308
2029,502506.000225,479637.702374
2030,506402.264526,482317.938038
2031,512896.038362,487343.388267
