year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,1523706.0,1086945.09961
2018,1523706.0,1086945.09961
2019,1523706.0,1086945.09961
2020,1523706.0,1086945.09961
2021,1523706.0,1086945.09961
2022,1523706.0,1086945.09961
2023,1523706.0,1086945.09961
2024,1523706.0,1086945.09961
2025,1523706.0,1086945.09961
2026,1523706.0,1086945.09961
2027,1523706.0,1086945.09961
2028,1523706.0,1086945.09961
2029,1523706.0,1086945.09961
2030,1523706.0,1086945.09961
2031,1523706.0,1086945.09961
2032,,
2033,,
2034,,
2035,,
2036,,
