year,Base case cost,Modeled biomass for heat (pellet)
2017,4392174.6,5044920.66341
2018,4803575.22,5338395.84031
2019,5367346.44,5740565.52716
2020,5656850.58,5947085.09609
2021,5839695.3,6077518.50804
2022,5992065.9,6186213.018
2023,6083488.26,6251429.72398
2024,6174910.62,6316646.42996
2025,6266332.98,6381863.13593
2026,6388229.46,6468818.7439
2027,6494888.88,6544904.90088
2028,6586311.24,6610121.60685
2029,6692970.66,6686207.76383
2030,6769155.96,6740555.01881
2031,6891052.44,6827510.62677
2032,,
2033,,
2034,,
2035,,
2036,,
