year,Base case cost,Modeled non-residential energy efficiency
2017,382956.361488,376313.985198
2018,404720.772671,396144.77919
2019,433325.427368,422208.108437
2020,447005.914397,434673.178946
2021,455711.67887,442605.496543
2022,462551.922385,448838.031798
2023,466904.804622,452804.190597
2024,470635.846539,456203.755281
2025,475610.569095,460736.508194
2026,480585.291651,465269.261106
2027,485560.014207,469802.014019
2028,489291.056124,473201.578703
2029,494265.77868,477734.331615
2030,497374.980277,480567.302186
2031,502971.543153,485666.649212
