year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,9917.10522717,6446.11839766
2018,9914.87400754,6444.6681049
2019,9912.62014811,6443.20309627
2020,9909.88758993,6441.42693345
2021,9906.89187727,6439.47972023
2022,9904.14160677,6437.6920444
2023,9901.47410474,6435.95816808
2024,9898.56961719,6434.07025117
2025,9895.05065863,6431.78292811
2026,9891.33952806,6429.37069324
2027,9887.49375722,6426.87094219
2028,9883.69759419,6424.40343622
2029,9879.3169246,6421.55600099
2030,9875.07009623,6418.79556255
2031,9871.21786639,6416.29161315
