year,Base case diesel consumed,Modeled non-residential ashp
2017,31958.2590881,22370.7813521
2018,31958.2590881,22370.7813521
2019,31958.2590881,22370.7813521
2020,31958.2590881,22370.7813521
2021,31958.2590881,22370.7813521
2022,31958.2590881,22370.7813521
2023,31958.2590881,22370.7813521
2024,31958.2590881,22370.7813521
2025,31958.2590881,22370.7813521
2026,31958.2590881,22370.7813521
2027,31958.2590881,22370.7813521
2028,31958.2590881,22370.7813521
2029,31958.2590881,22370.7813521
2030,31958.2590881,22370.7813521
2031,31958.2590881,22370.7813521
