year,annotation,Average Load
2003,,-1412.0
2004,,-911.0
2005,,-494.0
2006,,-77.0
2007,,132.0
2008,,257.0
2009,,341.0
2010,,132.0
2011,,68.0
2012,,71.0
2013,,65.0
2014,start of forecast,69.0
2015,,72.0
2016,,71.0
2017,,76.0
2018,,81.0
2019,,90.0
2020,,102.0
2021,,116.0
2022,,134.0
2023,,153.0
2024,,176.0
2025,,201.0
2026,,225.0
2027,,248.0
2028,,271.0
2029,,292.0
2030,,321.0
2031,,347.0
2032,,375.0
2033,,403.0
2034,,433.0
2035,,463.0
2036,,486.0
2037,,509.0
2038,,535.0
2039,,563.0
2040,,593.0
