year,Base case cost,Modeled diesel efficiency
2019,333268.028119,496366.17575
2020,342742.202831,504979.061852
2021,348872.551174,510552.1058
2022,353888.290728,515111.869031
2023,357789.421492,518658.351544
2024,360575.943466,521191.553338
2025,363919.769835,524231.395492
2026,368378.204994,528284.518364
2027,371722.031363,531324.360517
2028,374508.553337,533857.562312
2029,378409.684101,537404.044825
2030,381196.206076,539937.24662
2031,385097.336839,543483.729132
2032,389555.771998,547536.852004
2033,394014.207157,551589.974876
2034,399029.946711,556149.738106
2035,401816.468685,558682.939901
2036,406832.208239,563242.703131
2037,409618.730213,565775.904926
2038,414077.165372,569829.027798
