year,Base case diesel consumed,Modeled diesel efficiency
2019,55730.4394847,50664.0358952
2020,55730.4394847,50664.0358952
2021,55730.4394847,50664.0358952
2022,55730.4394847,50664.0358952
2023,55730.4394847,50664.0358952
2024,55730.4394847,50664.0358952
2025,55730.4394847,50664.0358952
2026,55730.4394847,50664.0358952
2027,55730.4394847,50664.0358952
2028,55730.4394847,50664.0358952
2029,55730.4394847,50664.0358952
2030,55730.4394847,50664.0358952
2031,55730.4394847,50664.0358952
2032,55730.4394847,50664.0358952
2033,55730.4394847,50664.0358952
2034,55730.4394847,50664.0358952
2035,55730.4394847,50664.0358952
2036,55730.4394847,50664.0358952
2037,55730.4394847,50664.0358952
2038,55730.4394847,50664.0358952
