year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,23998.84,448132.35,744048.93,38531.47,2560643.43,683177.53
2018,25728.43,480387.7,796550.3,39718.09,2639265.16,704153.74
2019,28059.77,523862.29,873776.08,41317.3,2745233.57,736975.26
2020,29187.31,544898.39,908271.26,42090.19,2796508.61,750740.37
2021,29936.66,558922.45,924379.72,42601.96,2830691.97,755226.26
2022,30536.62,570141.7,942641.07,43012.12,2858038.66,762522.33
2023,30913.26,577153.73,954054.41,43270.91,2875130.34,767082.38
2024,31215.21,582763.36,970362.57,43478.84,2888803.68,775517.56
2025,31588.73,589775.39,974598.43,43733.11,2905895.36,775290.46
2026,32106.15,599592.23,990577.1,44081.31,2929823.71,781674.52
2027,32466.72,606604.26,1001990.45,44317.37,2946915.39,786234.57
2028,32746.72,612213.89,1003586.42,44494.48,2960588.74,784976.5
2029,33178.36,620628.33,1009543.62,44776.91,2981098.75,785474.48
2030,33453.43,626237.95,1010833.41,44947.7,2994772.1,784114.45
2031,33872.11,634652.39,1016416.39,45212.86,3015282.11,784487.8
2032,,,1023992.86,,,785676.87
2033,,,1029150.58,,,785908.6
2034,,,1028120.72,,,781834.69
2035,,,1022389.45,,,775891.44
2036,,,1028826.25,,,776700.98
