year,Base case cost,Modeled residential energy efficiency
2017,1427226.4619,1423039.26892
2018,1500704.04356,1482220.18318
2019,1610751.3378,1574294.14576
2020,1659011.62015,1612177.96982
2021,1679605.98152,1624822.95655
2022,1705163.40123,1643446.82449
2023,1721136.78854,1653970.50758
2024,1745880.12837,1673806.62532
2025,1749888.88572,1672509.31822
2026,1772251.62796,1688695.67967
2027,1788225.01528,1699499.98811
2028,1788562.92662,1695204.72556
2029,1795018.09657,1696151.6456
2030,1794947.86343,1691575.81633
2031,1800904.19014,1692148.48078
2032,1809669.72454,1695120.65475
2033,1815059.18393,1695245.26792
2034,1809955.41416,1684464.16901
2035,1798280.89193,1668107.92301
2036,1805527.22191,1669787.57991
