year,Base case cost,Modeled water and wastewater efficiency
2017,62530.3061565,61675.675965
2018,65446.5196134,63287.2715111
2019,69377.0714136,65608.8817913
2020,71277.5062056,66537.4989577
2021,72538.6207898,67033.4446552
2022,73548.7392986,67364.8704449
2023,74184.1622219,67446.1883504
2024,74694.0457341,67449.2016051
2025,75321.8366276,67541.6725802
2026,76187.4607616,67806.1207114
2027,76784.0919973,67892.3151281
2028,77241.1986921,67889.5454986
2029,77955.269013,68071.7784145
2030,78401.125449,68075.7774199
2031,79084.9728702,68251.0070989
