year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,15678.0,11183.9388591
2018,15678.0,11183.9388591
2019,15678.0,11183.9388591
2020,15678.0,11183.9388591
2021,15678.0,11183.9388591
2022,15678.0,11183.9388591
2023,15678.0,11183.9388591
2024,15678.0,11183.9388591
2025,15678.0,11183.9388591
2026,15678.0,11183.9388591
2027,15678.0,11183.9388591
2028,15678.0,11183.9388591
2029,15678.0,11183.9388591
2030,15678.0,11183.9388591
2031,15678.0,11183.9388591
2032,,
2033,,
2034,,
2035,,
2036,,
